"section","courseID","school","session","course_title","instructor","course_description","section_name","department","origin","total_enrolled","N.Sections","semester","course_desc","year","all_semesters","course_level"
2653,"LAW-212","Gould School of Law",1,"Immigration Law for a New America","Reisz, Jean","Examines current immigration law in America, the normative debates over immigration policies and the role the government plays in expanding or limiting immigration rights.","","LAW",20251,0,1,"SP25","Immigration Law for a New America -  - Examines current immigration law in America, the normative debates over immigration policies and the role the government plays in expanding or limiting immigration rights.","AY25","SP25","undergrad lower division"
2655,"LAW-492","Gould School of Law",1,"Undergraduate Law Review","","Introduces students to the basics of legal writing and research, with a focus on legal scholarship and law review-type journal articles.","","LAW",20251,0,1,"SP25","Undergraduate Law Review -  - Introduces students to the basics of legal writing and research, with a focus on legal scholarship and law review-type journal articles.","AY25","SP25","undergrad upper division"
2657,"LAW-355","Gould School of Law",1,"Law and Homelessness","Sharma, Deepika","Examines the current housing crisis by interweaving tenant/landlord law, local ordinances, historical exclusionary policies and reviewing current reporting and scholarship.","","LAW",20251,0,1,"SP25","Law and Homelessness -  - Examines the current housing crisis by interweaving tenant/landlord law, local ordinances, historical exclusionary policies and reviewing current reporting and scholarship.","AY25","SP25","undergrad upper division"
2662,"LAW-101","Gould School of Law",1,"Law and the U.S. Constitution in Global History","","By examining key constitutional moments involving race, rights, and revolutions, students will explore how legal meaning changes over time.","","LAW",20251,0,15,"SP25","Law and the U.S. Constitution in Global History -  - By examining key constitutional moments involving race, rights, and revolutions, students will explore how legal meaning changes over time.","AY25","SP25","undergrad lower division"
2668,"LAW-202","Gould School of Law",1,"Wrongful Convictions","","Explores the phenomenon of wrongful convictions from a variety of fields, including psychology, criminology, policing and law, and through documentary films of real cases. Seeks solutions to increase accuracy of criminal process.","","LAW",20251,0,1,"SP25","Wrongful Convictions -  - Explores the phenomenon of wrongful convictions from a variety of fields, including psychology, criminology, policing and law, and through documentary films of real cases. Seeks solutions to increase accuracy of criminal process.","AY25","SP25","undergrad lower division"
2669,"LAW-203","Gould School of Law",1,"The American Criminal Justice System: A Critical Intro","Simon, Dan","The first part introduces students to the criminal systems objectives, design, institutions and safeguards. The second part explores how this system has gone awry.","","LAW",20251,0,1,"SP25","The American Criminal Justice System: A Critical Intro -  - The first part introduces students to the criminal systems objectives, design, institutions and safeguards. The second part explores how this system has gone awry.","AY25","SP25","undergrad lower division"
2690,"LAW-311","Gould School of Law",1,"Fundamentals of Entertainment Law","","Examines key legal principles governing the entertainment industry by exploring legal challenges faced by professionals in music, film, sports, gaming and other areas of entertainment.","","LAW",20251,0,1,"SP25","Fundamentals of Entertainment Law -  - Examines key legal principles governing the entertainment industry by exploring legal challenges faced by professionals in music, film, sports, gaming and other areas of entertainment.","AY25","SP25","undergrad upper division"
3236,"LAW-604","Gould School of Law",1,"Real Estate Transactions Problems","","Selected problems to supplement LAW 605.","","LAW",20251,0,1,"SP25","Real Estate Transactions Problems -  - Selected problems to supplement LAW 605.","AY25","SP25","graduate"
4126,"LAW-623","Gould School of Law",1,"Family Law","","Creating, regulating and dissolving family relationships. Explore moral and power relations among men, women, children, and the State. Develop skills to help clients in families.","","LAW",20251,0,1,"SP25","Family Law -  - Creating, regulating and dissolving family relationships. Explore moral and power relations among men, women, children, and the State. Develop skills to help clients in families.","AY25","SP25","graduate"
4403,"LAW-708","Gould School of Law",1,"Contract Drafting, Analysis and Negotiation","","Covers the fundamentals of reviewing and analyzing business contracts and strategies for negotiating business issues with an emphasis on developing practical skills. Open only to Law students.","","LAW",20251,0,1,"SP25","Contract Drafting, Analysis and Negotiation -  - Covers the fundamentals of reviewing and analyzing business contracts and strategies for negotiating business issues with an emphasis on developing practical skills. Open only to Law students.","AY25","SP25","graduate"
