"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","Link","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","DEPARTMENT","origin"
"21440","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Scholder, Stacy","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21441","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","5","","Schoofs, Mark","OFFICE","5","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21442","PR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Yang, Aimei","OFFICE","0","Individual research and readings. Not available for graduate credit.","PR","20201"
"21443","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Seib, Philip","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21447","JOUR-590","ANSC","420","1","12","Directed Research","C","","Y","","","","0","","Haggerty, Rebecca, Marie;Muller, Judy, Marie","OFFICE","0","Research leading to the Master's degree. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.","JOUR","20201"
"21448","JOUR-490","ANSC","420","1","8","Directed Research","C","","Y","","","","0","","Haggerty, Rebecca, Marie;Muller, Judy, Marie","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21449","JOUR-480","ANSC","1","4","4","Sports and Media Technology","C","","Y","18:30:00","21:50:00","T","46","","Fellenzer, Jeffrey, C","ANNL101","46","Examine and analyze the ever-changing technology sector of the sports business and sports media worlds. Identify emerging technologies being developed in the sports industry and how","JOUR","20201"
"21450","JOUR-490","ANSC","773","1","8","Directed Research","C","","Y","","","","3","","Cowan, Geoffrey","OFFICE","3","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21451","JOUR-490","ANSC","773","1","8","Directed Research","C","","Y","","","","7","","Cull, Nick","OFFICE","7","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21454","JOUR-499","ANSC","207","4","4","Special Topics","C","","Y","14:00:00","17:20:00","T","15","","Kelly, Kathryn","","15","Selected topics in journalism.","JOUR","20201"
"21455","JOUR-467","ANSC","207","4","4","Gender and the News Media","C","","Y","","","","23","","Kelly, Kathryn","OFFICE","23","Gender and news media evolving images of women and men in print and electronic media.  Impact of gender in content and style of news, television and cinema.  Open to non-majors.","JOUR","20201"
"21456","PR-410","ANSC","207","4","4","London Calling: Public Relations in the UK Hub","C","","Y","","","","14","","Kelly, Kathryn","OFFICE","14","Examines how politics affects and influences public relations campaigns in the UK and Europe.","PR","20201"
"21457","PR-491","ANSC","1","4","4","Transmedia, New Media and Strategic Public Relations","C","","Y","14:00:00","17:20:00","T","13","","Jenkins, Henry;Kozinets, Robert","ANNL115","13","Study of the new rules of message development and dissemination in strategic communication and marketing: Participatory Culture, Transmedia Branding, Spreadable Media, and Crowdsour","PR","20201"
