"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","LINK","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","SECTION_NAME","DEPARTMENT","origin"
"37932","IR-427","LASS","001","4.0","4.0","Seminar on Economics and Security","C","","Y","17:00","19:50","T","3","","Starr, Pamela, K","DMC202",NA,"Introduction to important economic issue areas that are understood as security-related in the contemporary world: population, food, trade, debt, etc.","","IR","20261"
"37933","IR-429","LAS","001","4.0","4.0","America and the Future of Geopolitics","C","","N","TBA","TBA","","0","","","OFFICE",NA,"Possible futures for nations, regions and issues and how to help frame U.S. foreign policy in relation to them.","","IR","20261"
"37935","IR-430","LASS","001","4.0","4.0","The Politics of International Trade","C","","Y","15:30","16:50","MW","1","","Gonzalez-Rostani, Valentina","DMC105",NA,"Economic approaches and political processes are used to explain observed international trade policy choices. Topics covered include globalization, regionalism, labor standards, the environment and sanctions. Recommended preparation: Micro- and Macroeconomics.","","IR","20261"
"37936","IR-431","LAS","001","4.0","4.0","Commercial and Financial Globalization-Trends, Challenges","C","","N","08:30","09:50","MW","0","","","",NA,"Factors determining the feasibility, desirability and limits of economic globalization; the dynamics triggered by the Global Financial Crisis and the backlash against Globalization.","","IR","20261"
"37938","IR-437","LAS","001","4.0","4.0","Comparative Genocide","C","","Y","17:30","20:20","W","0","","Osborn, Ronald","DMC150",NA,"An interdisciplinary treatment of the tragic phenomenon of genocide. Subject matter includes historical cases and analysis of contemporary global efforts toward prevention.","","IR","20261"
"37943","IR-442","LASS","001","4.0","4.0","Japanese Foreign Policy","C","","N","08:30","09:50","MW","0","","Katada, Saori N.","",NA,"Economic, political, territorial, and security issues; foreign policy decision-making; relations with major powers and neighboring states.","","IR","20261"
"37946","IR-445","LASS","001","4.0","4.0","U.S. Defense and Foreign Policy: Nonproliferation and Weapons of Mass Destruction","C","","N","08:00","09:20","TH","0","","","",NA,"Policies and programs aimed at stopping the spread of weapons of mass destruction (WMD).  Presentations by executive/legislative officials involved in formulation and implementation of non-proliferation.  Junior or senior standing required.","","IR","20261"
"37948","IR-466","LASS","001","4.0","4.0","Contemporary Issues in Latin American Politics","C","","N","14:00","16:50","T","0","","","",NA,"Focus on current politics in Latin America.  Address a range of themes: electoral democracy, citizenship, political inclusion, human rights, corruption, economic inequality.","","IR","20261"
"37955","IR-470","LASS","001","4.0","4.0","Comparative Regionalism","C","","N","08:30","09:50","MW","0","","","",NA,"Analysis of the factors that lead to different forms of regional arrangements in different parts of the world (e.g, NAFTA, FU, ASEAN). Prerequisite: IR 210.","","IR","20261"
"37959","IR-423","LAS","001","4.0","4.0","Forced Migration and Conflict","C","","N","15:30","16:50","TH","0","","","",NA,"Examines  causes of forced migration and state responses to refugees and asylum seekers.  Outside the classroom, students volunteer with organizations serving migrants in Los Angeles.","","IR","20261"
"37961","IR-490","LAS","001","1.0","1.0","Directed Research","C","","Y","TBA","TBA","","0","","","OFFICE",NA,"Individual research and readings. Not available for graduate credit.","","IR","20261"
"37962","IR-490","LAS","001","1.0","8.0","Directed Research","C","","Y","TBA","TBA","","2","","Pratt, Sally","OFFICE",NA,"Individual research and readings. Not available for graduate credit.","","IR","20261"
"37963","IR-490","LAS","001","2.0","8.0","Directed Research","C","","N","TBA","TBA","","0","","","OFFICE",NA,"Individual research and readings. Not available for graduate credit.","","IR","20261"
"37964","IR-490","LAS","001","4.0","4.0","Directed Research","C","","Y","TBA","TBA","","0","","Pratt, Sally","OFFICE",NA,"Individual research and readings. Not available for graduate credit.","","IR","20261"
"37966","IR-491","LASS","001","1.0","8.0","Field Study","C","","N","TBA","TBA","","0","","","",NA,"Local, national, and international internships. Not available for graduate credit.","","IR","20261"
"37967","IR-491","LASS","001","1.0","8.0","Field Study","C","","N","TBA","TBA","","0","","","",NA,"Local, national, and international internships. Not available for graduate credit.","","IR","20261"
"37968","IR-455","LAS","001","4.0","4.0","The Political Economy of Autocracy","C","","N","14:00","16:50","W","0","","","",NA,"Survey of autocracy, the world's most common form of government: its political economy, the role of elections, parties, repression, propaganda and civil resistance.","","IR","20261"
"37969","IR-494","LAS","001","4.0","4.0","Honors Thesis Seminar","C","","N","TBA","TBA","","0","","","",NA,"Preparation and oral defense of senior honors thesis before supervising faculty and fellow honors students. Senior status and acceptance to program required. Recommended preparation: IR 311.","","IR","20261"
"37976","IR-407","LAS","001","4.0","4.0","Chinese Foreign Policy","C","","Y","12:00","13:20","WF","0","","Baggott, Erin, Ashley","THHB10",NA,"The domestic and international sources of Chinese foreign policy; political, military, and economic issues in China's relations with its neighbors.","","IR","20261"
"37983","IR-499","LASS","001","4.0","4.0","Special Topics","C","","Y","12:00","13:20","MW","0","","Mangini, Michael-David","",NA,"Selected topics in various special areas within international relations, which may vary from semester to semester or within semesters.","The Contradictions of Democracy, Sovereignty and Globalization","IR","20261"
"37984","IR-499","LASS","001","4.0","4.0","Special Topics","C","","N","15:30","16:50","TH","0","","English, Robert, David","",NA,"Selected topics in various special areas within international relations, which may vary from semester to semester or within semesters.","The Artic: Environment, Economics, Geopoltics","IR","20261"
"37985","IR-499","LASS","001","4.0","4.0","Special Topics","C","","Y","14:00","15:20","TH","0","","Fields, Jeffrey","",NA,"Selected topics in various special areas within international relations, which may vary from semester to semester or within semesters.","21st Century International Security","IR","20261"
"38096","IR-391","LAS","001","2.0","2.0","Directed International Relations Field Study","C","","Y","TBA","TBA","","0","","Bozovic, Iva","OFFICE",NA,"Intensive internship experience in international relations professional areas with academic research component (may be repeated for credit different semesters)","","IR","20261"
"38098","IR-391","LAS","001","2.0","2.0","Directed International Relations Field Study","C","","N","TBA","TBA","","0","","","OFFICE",NA,"Intensive internship experience in international relations professional areas with academic research component (may be repeated for credit different semesters)","","IR","20261"
"38099","IR-391","LAS","236","4.0","4.0","Directed International Relations Field Study","C","","Y","TBA","TBA","","0","","Fields, Jeffrey","OFFICE",NA,"Intensive internship experience in international relations professional areas with academic research component (may be repeated for credit different semesters)","","IR","20261"
"38101","GSEC-510","LAS","001","4.0","4.0","Security and Global Governance","C","","Y","14:30","17:50","W","0","","","WPH603",NA,"Major theoretical approaches to the study of war; focus is on recent issues in security studies.","","GSEC","20261"
"38102","GSEC-512","LAS","001","4.0","4.0","National Intelligence and Global Security","C","","N","13:30","16:50","M","0","","","",NA,"Exploration of how intelligence affects global security and the formation and implementation of foreign and security policy.","","GSEC","20261"
"38103","GSEC-530","LAS","001","4.0","4.0","Human Impact of Genocide and Mass Violence","C","","Y","09:30","12:20","T","0","","Swerdlow, Steve","THH221",NA,"Analysis of the consequences of genocide and mass violence on human security and individual well-being and an exploration of processes to address mass atrocities.","","GSEC","20261"
"38200","JS-100","LAS","001","4.0","4.0","Jewish History","C","A","Y","14:00","15:20","MW","10","","Garroway, Joshua;Skinazi, Karen","MRF340",NA,"Major ideas, personalities, and movements in Jewish history from antiquity to the present in light of the interaction of the Jews with the general culture.","","JS","20261"
"38201","JS-100","LAS","001","0.0","0.0","Jewish History","D","A","Y","15:30","16:20","M","8","","","DMC109",NA,"Major ideas, personalities, and movements in Jewish history from antiquity to the present in light of the interaction of the Jews with the general culture.","","JS","20261"
"38202","JS-100","LAS","001","0.0","0.0","Jewish History","D","A","Y","16:30","17:20","M","0","","","DMC109",NA,"Major ideas, personalities, and movements in Jewish history from antiquity to the present in light of the interaction of the Jews with the general culture.","","JS","20261"
"38203","JS-100","LAS","001","0.0","0.0","Jewish History","D","A","Y","16:30","17:20","W","1","","","DMC211",NA,"Major ideas, personalities, and movements in Jewish history from antiquity to the present in light of the interaction of the Jews with the general culture.","","JS","20261"
"38204","JS-100","LAS","001","0.0","0.0","Jewish History","D","A","Y","15:30","16:20","W","1","","","DMC155",NA,"Major ideas, personalities, and movements in Jewish history from antiquity to the present in light of the interaction of the Jews with the general culture.","","JS","20261"
"38205","JS-100","LAS","001","0.0","0.0","Jewish History","D","A","N","TBA","TBA","","0","","","OFFICE",NA,"Major ideas, personalities, and movements in Jewish history from antiquity to the present in light of the interaction of the Jews with the general culture.","","JS","20261"
"38206","JS-211","LAS","001","4.0","4.0","The Holocaust","C","B","Y","12:30","13:50","TH","9","","Rom, Michael;Skinazi, Karen","THH301",NA,"Historical background and responses to the Holocaust, withspecial emphasis on ethical implications.","","JS","20261"
"38207","JS-211","LAS","001","0.0","0.0","The Holocaust","D","B","Y","10:00","10:50","T","2","","","SOSB37",NA,"Historical background and responses to the Holocaust, withspecial emphasis on ethical implications.","","JS","20261"
"38208","JS-211","LAS","001","0.0","0.0","The Holocaust","D","B","Y","11:00","11:50","T","3","","","DMC160",NA,"Historical background and responses to the Holocaust, withspecial emphasis on ethical implications.","","JS","20261"
"38209","JS-211","LAS","001","0.0","0.0","The Holocaust","D","B","Y","10:00","10:50","H","1","","","WPHB26",NA,"Historical background and responses to the Holocaust, withspecial emphasis on ethical implications.","","JS","20261"
"38210","JS-211","LAS","001","0.0","0.0","The Holocaust","D","B","Y","11:00","11:50","H","3","","","DMC203",NA,"Historical background and responses to the Holocaust, withspecial emphasis on ethical implications.","","JS","20261"
"38211","JS-314","LAS","001","4.0","4.0","Holy War And History: Jews, Christians, Muslims","C","","N","14:00","15:20","MW","0","","","",NA,"Investigates the engagement in war by Judaism, Christianity and Islam by examining history and theology and looks at religious justifications and condemnations of war.","","JS","20261"
"38212","JS-211","LAS","001","0.0","0.0","The Holocaust","D","","N","TBA","TBA","","0","","","",NA,"Historical background and responses to the Holocaust, withspecial emphasis on ethical implications.","","JS","20261"
"38213","JS-328","LAS","001","4.0","4.0","Blacks and Jews: Conflicts and Alliances","C","","N","14:00","15:20","TH","0","","","",NA,"Examination of the relationship between the American Jewish and African-American communities and what it teaches about race and coalition politics in American society.","","JS","20261"
"38214","JS-379","LAS","001","4.0","4.0","Mixing and Matching: Intermarriage in 21st Century","C","","Y","14:00","15:20","TH","30","","Phillips, Bruce;Skinazi, Karen","DMC256",NA,"An investigation into inter-ethnic, interracial, and inter-religious marriage in the 21st century.","","JS","20261"
"38215","JS-402","LAS","001","4.0","4.0","Jews, Judaism and Race","C","","N","09:30","10:50","TH","0","","","",NA,"Examine the history of race and racialization in Jewish life, culture and history across the world and the impact of race on Jewish tradition.","","JS","20261"
"38216","JS-389","LAS","001","4.0","4.0","Culture and Society in Israel: Inventing the Dream","C","","N","14:00","15:20","TH","0","","","",NA,"Examination of the social forces that shaped and continue to shape culture and society in contemporary Israel.","","JS","20261"
"38217","JS-335","LAS","001","4.0","4.0","Jewish Names: People, Families, Pets and Organizations","C","","Y","14:00","15:20","TH","2","","Benor, Sarah;Skinazi, Karen","DMC200",NA,"Introduces history and customs related to Jewish names, from individuals to organizations to places by discussing name popularity, histories of name changing and naming rituals.","","JS","20261"
"38219","JS-504","LASO","001","3.0","3.0","Modern Hebrew Literature","C","","N","TBA","TBA","","0","","","",NA,"Reading of unvocalized texts primarily from modern Hebrew literature. A survey of the development of modern Hebrew literature, with an emphasis on short story and poetry. Knowledge of Hebrew required.","","JS","20261"
"38220","JS-490","LAS","001","2.0","8.0","Directed Research","C","","Y","TBA","TBA","","0","","","",NA,"Individual research and readings. Not available for graduate credit.","","JS","20261"
"38221","JS-590","LASO","001","2.0","4.0","Directed Research","C","","Y","TBA","TBA","","0","","","",NA,"Research leading to the master's degree. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.","","JS","20261"
"38222","JS-315","LAS","001","4.0","4.0","Anti-Semitism, Racism and Other Hatreds","C","","N","14:00","15:20","TH","0","","","",NA,"History and contexts of anti-Semitism, racism and other discourses about difference examined through religious, national and cultural forms in Europe and in the US.","","JS","20261"
"38223","JS-382","LAS","001","4.0","4.0","Judaism as an American Religion","C","","Y","14:00","15:20","MW","10","","Phillips, Bruce;Skinazi, Karen","SOSB48",NA,"The development of American expressions of Judaism as part of the American religious context, from the perspective of the social scientific study of religion.","","JS","20261"
"38224","JS-378","LAS","001","4.0","4.0","Jewish Magic in the Ancient World","C","","N","11:00","12:20","TH","0","","","",NA,"A cross-cultural examination of different kinds of magical literature that describe miraculous practices in Jewish mainstream and marginal life in the ancient and classical periods.","","JS","20261"
"38225","JS-370","LAS","001","4.0","4.0","Digs and Dispute: Religion and Archaeology in Israel","C","","N","12:30","13:50","TH","0","","","",NA,"Investigates contemporary conflicts in the discovery of the ancient world. Students will ask essential questions about the power of discovering and showcasing specific narratives.","","JS","20261"
"38226","JS-170","LAS","001","4.0","4.0","Exploring the Hebrew Bible","C","","N","11:00","12:20","TH","0","","","",NA,"Exploring the Hebrew Bible, the world in which it arose, and influential texts, including work from Ancient Egypt, Mesopotamia  and the Southern Levant.","","JS","20261"
"38227","JS-100","LAS","001","0.0","0.0","Jewish History","D","A","N","TBA","TBA","","0","","","OFFICE",NA,"Major ideas, personalities, and movements in Jewish history from antiquity to the present in light of the interaction of the Jews with the general culture.","","JS","20261"
"38230","JS-361","HUC","001","4.0","4.0","Scripture and Polemic in Judaism, Christianity, and Islam","C","","N","14:00","15:20","TH","0","","","",NA,"Origins of Scriptures and their polemical environments in earliest Judaism, Christianity, and Islam.  Scripture as polemic and legitimation, and cross-religious/cross-cultural interpretation and argument based on scriptural themes.","","JS","20261"
"38231","JS-150","LAS","001","4.0","4.0","Jewish Histories of the Modern Middle East","C","","N","14:00","15:20","TH","0","","","",NA,"Explores Jewish participation in the social, cultural, political and economic life of the modern Middle East.","","JS","20261"
"38234","JS-330","LAS","001","4.0","4.0","Jewish Politics in the Contemporary World","C","","N","14:00","15:20","MW","0","","","",NA,"Explores the relationship of politics and Jewish experience. Topics include politics in exile, changing relationships to power and relations with contemporary nation-states.","","JS","20261"
